,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
16216,2023,Abril,2023-04-19,10:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,31,FISICA,ROMA NORTE,CUAUHTEMOC,19.4219173232428,-99.1628122298166
16217,2023,Abril,2023-04-19,04:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,36,FISICA,ATLAMPA,CUAUHTEMOC,19.456762503112,-99.1547602397069
16218,2023,Abril,2023-04-21,13:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,72,FISICA,MORELOS,CUAUHTEMOC,19.4442837614657,-99.1340857698151
16219,2023,Abril,2023-04-20,10:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,38,FISICA,ROMA NORTE,CUAUHTEMOC,19.4128864735349,-99.1596472298171
16220,2023,Abril,2023-04-21,05:45:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,33,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4544619129408,-99.1512640699354
16221,2023,Abril,2023-04-17,15:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,32,FISICA,ROMA SUR,CUAUHTEMOC,19.407394349078,-99.1553771098057
16222,2023,Abril,2023-04-20,07:20:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,20,FISICA,VISTA ALEGRE,CUAUHTEMOC,19.4101416959297,-99.1337209898892
16223,2023,Marzo,2023-03-01,05:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,42,FISICA,JUÁREZ,CUAUHTEMOC,19.4275359659318,-99.1631528704641
16224,2023,Abril,2023-04-01,03:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,29,FISICA,ROMA NORTE,CUAUHTEMOC,19.4224702012426,-99.1620773098203
16225,2023,Abril,2023-04-10,08:25:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,29,FISICA,ROMA NORTE,CUAUHTEMOC,19.417692110623,-99.1553020498667
16226,2023,Abril,2023-04-23,09:30:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Femenino,42,FISICA,BUENAVISTA,CUAUHTEMOC,19.4520365073768,-99.1461133396021
16227,2023,Abril,2023-04-21,22:00:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,59,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4104831434751,-99.1705763295956
16228,2023,Abril,2023-04-11,07:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,48,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4525642517013,-99.145351050028
16229,2023,Abril,2023-04-22,04:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,32,FISICA,ROMA NORTE,CUAUHTEMOC,19.4225850531564,-99.167164560218
16230,2023,Abril,2023-04-22,02:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,51,FISICA,SAN RAFAEL,CUAUHTEMOC,19.4403619704364,-99.1610205202788
16231,2023,Abril,2023-04-20,09:45:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,32,FISICA,ROMA NORTE,CUAUHTEMOC,19.4205759228902,-99.1567437399271
16232,2023,Abril,2023-04-21,09:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,51,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.44264834847,-99.1590877604427
16233,2023,Abril,2023-04-22,12:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,22,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.452584476993,-99.1453510499399
16234,2023,Abril,2023-04-22,09:03:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,38,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4506753334335,-99.1384363204698
